Phytoplankton,CDOM,Min,Wind,Depth
0.06647338,0.36043167,0.17661972,4.3739243,9.774622
0.49661392,1.087711,0.035033096,6.5589647,15.968915
1.0208551,0.03272815,7.302918,6.4911356,9.747289
3.811024,0.031970043,0.7067794,7.598197,1.0476499
6.070247,0.020411568,0.056513052,9.009765,16.152504
0.82320577,1.1210252,1.0423244,6.8645663,16.27056
0.012555621,0.6676951,0.10875543,13.014174,14.853466
2.819672,0.8756233,0.58128387,8.457347,12.467357
0.17782162,2.0694866,21.983343,5.282985,18.338202
0.057979885,0.14794488,0.031519134,7.083532,4.112897
0.89157265,0.01714694,1.6478852,8.576932,8.031032
0.23724417,0.5954614,0.9520789,7.949789,8.061582
0.4639766,1.1005495,10.067814,10.721781,16.746422
1.8677573,0.033704903,0.08310304,7.92868,0.56610143
0.054612845,0.110613614,0.06689531,5.324813,11.222299
2.7989516,0.054003924,0.07017427,8.743611,17.020082
0.0762476,0.14022382,4.195739,5.1498446,7.3605704
6.6941495,0.0708986,5.921327,3.9881024,15.8602085
5.817009,0.15901682,2.5954218,7.7785273,7.7093062
0.093346484,0.14354697,0.37482384,6.641526,2.7651112
3.8552718,1.6432596,5.336016,7.0916724,17.2282
0.5444738,0.75547564,0.3712039,7.049685,16.219084
0.015057681,0.4702834,0.53925955,11.723896,17.028687
0.13362946,0.4930642,0.8363656,7.436179,2.506513
0.03323193,0.2962832,0.18495725,7.1491065,12.852008
0.34040594,1.3572403,7.353225,7.330744,12.926607
1.2170316,0.5062042,0.66763943,7.09597,8.968082
0.89850044,0.33978194,4.915129,4.624479,18.695524
0.65640056,0.030253131,6.82005,5.8271885,8.264119
0.06455638,1.4996171,0.29042265,5.491092,17.08847
2.050033,0.054217875,0.10154157,3.263754,6.4827776
0.25649425,0.017186714,0.20295922,9.30347,1.6806744
0.022992294,0.42989853,3.333395,5.8770747,1.2780287
6.3752866,0.045331057,0.352844,9.325867,10.405203
0.026707131,0.031997442,2.1529555,7.1749845,2.4797647
1.0178821,0.01998245,0.018206742,6.5496683,4.138622
5.903862,2.2385693,0.0882918,7.009539,18.709965
1.1207823,0.07354651,0.20516409,7.8101225,10.386179
2.6672773,1.0250922,0.38422388,10.364567,5.7879996
1.2404923,2.4863038,0.088766515,4.828488,1.1081177
0.010526506,0.011102933,0.95756364,9.18719,15.9284725
0.04652612,0.04332994,0.18709728,4.0724454,3.381333
2.1085613,0.59212726,0.011602492,7.0533357,10.188994
0.14959157,0.015214007,0.1824095,5.374593,5.7137394
0.589428,0.4437853,0.17570184,9.012239,19.266079
0.034663055,0.9743405,7.551831,8.225419,11.004747
1.3014733,0.086720765,22.791739,12.14932,3.7911468
0.21189031,0.17019935,8.5728445,8.673475,3.9025898
0.93371373,0.07213395,0.77747774,11.99484,11.883778
5.3084803,2.3073275,0.020551238,10.80603,13.399635
0.05296798,1.1683893,1.8100575,5.3214817,18.685719
0.7753564,0.4537988,0.7364183,5.32907,17.644081
2.142205,0.5221997,0.034136243,7.7694416,5.3763523
0.1705172,0.014017297,0.032234695,4.933892,4.4829903
1.2511731,0.5756174,0.035198662,4.1228695,17.831364
2.864504,1.0233022,0.08911825,5.1324787,15.72315
0.5895759,0.017099475,2.0789688,6.904357,1.1022285
0.38780496,0.1476845,0.85272044,4.864303,11.619641
0.06106024,1.0827404,4.704201,6.181151,2.3834743
0.15513746,0.8551661,3.3840253,4.4825974,1.9269855
0.011186088,0.054540664,2.392971,9.021891,14.423619
0.026201954,0.99420345,0.015138962,7.4538765,2.3322098
0.016304154,0.084225565,24.753902,8.136365,10.626268
2.1340961,0.03106726,4.4063153,6.6990924,2.2912323
4.1599536,0.5459867,0.45580712,8.002424,2.2887132
0.021612536,0.028733889,0.1110601,4.4335074,6.292762
0.6281662,0.084543906,0.026669743,9.007276,12.410855
0.06629831,0.043523427,0.0589748,10.493081,2.7226834
0.6594098,0.046766073,7.0648627,4.6155047,15.5893545
1.597068,0.518818,2.243787,8.216085,4.611284
1.4153913,0.16001981,0.02309412,5.95639,14.411663
0.015131363,0.17625712,0.14515656,9.905664,14.256799
0.014814715,1.7260497,18.911072,10.209428,10.036717
0.69727254,0.42801687,0.34398592,7.3108215,6.9389715
3.1563013,0.071380965,0.19202997,6.6713853,14.531139
0.7022448,0.011743246,0.25497153,7.727149,7.4458246
6.821598,0.017896913,0.4117006,8.120375,15.749858
6.7195516,0.11850246,0.2298571,4.4931116,1.165268
0.4856845,0.30181026,0.24988762,6.424293,15.427999
1.3170382,0.018284086,1.5226287,5.190762,16.686165
0.51529783,0.1304704,0.7710214,4.1184487,16.18972
3.680429,0.06845788,21.058853,8.316903,7.146522
0.06752456,0.026910054,0.012397988,4.681004,6.106246
0.015714498,0.05120832,7.796238,6.97687,19.589052
0.7673521,0.017687513,1.631674,4.747078,0.41692865
5.5564156,0.12403854,0.04459065,6.9367,1.5865324
0.1054546,0.06188601,20.167265,4.9927855,0.75752896
0.28209785,0.16215543,0.058223497,7.1276402,11.365914
0.015817175,0.04113831,0.12040729,4.8967,17.194159
2.2382689,0.055106398,0.40442878,5.982846,16.450218
0.5086449,0.04691195,0.55036813,9.674809,16.332695
1.0036265,1.3634322,0.6306221,5.9170794,15.371697
0.030369937,0.46529943,0.18440172,5.302603,0.36481
0.52565086,0.6800466,1.8018222,4.7410893,2.1811652
0.2514767,0.039957277,0.028296195,10.188992,4.242429
0.06507567,0.10448741,0.20456305,7.4958906,9.20859
0.14430481,0.45185715,0.94860387,7.3937488,14.11035
